Date,Close_^NSEI,High_^NSEI,Low_^NSEI,Open_^NSEI,Volume_^NSEI,SMA20,Prev_Close,Prev_SMA20,Buy_Signal,Sell_Signal
2024-04-19,22147.0,22179.55078125,21777.650390625,21861.5,362500,22287.2150390625,21995.849609375,22282.65,False,False
2024-04-22,22336.400390625,22375.650390625,22198.150390625,22336.900390625,279300,22313.16259765625,22147.0,22287.2150390625,True,False
2024-04-23,22368.0,22447.55078125,22349.44921875,22447.05078125,231500,22339.6076171875,22336.400390625,22313.16259765625,False,False
2024-04-24,22402.400390625,22476.44921875,22384.0,22421.55078125,235900,22359.13017578125,22368.0,22339.6076171875,False,False
2024-04-25,22570.349609375,22625.94921875,22305.25,22316.900390625,475000,22382.81015625,22402.400390625,22359.13017578125,False,False
2024-04-26,22419.94921875,22620.400390625,22385.55078125,22620.400390625,329900,22403.57265625,22570.349609375,22382.81015625,False,False
2024-04-29,22643.400390625,22655.80078125,22441.900390625,22475.55078125,292000,22429.56015625,22419.94921875,22403.57265625,False,False
2024-04-30,22604.849609375,22783.349609375,22568.400390625,22679.650390625,361900,22443.4576171875,22643.400390625,22429.56015625,False,False
2024-05-02,22648.19921875,22710.5,22567.849609375,22567.849609375,445900,22452.767578125,22604.849609375,22443.4576171875,False,False
2024-05-03,22475.849609375,22794.69921875,22348.05078125,22766.349609375,438100,22453.89501953125,22648.19921875,22452.767578125,False,False
2024-05-06,22442.69921875,22588.80078125,22409.44921875,22561.599609375,320300,22454.2974609375,22475.849609375,22453.89501953125,False,True
2024-05-07,22302.5,22499.05078125,22232.05078125,22489.75,297800,22443.68994140625,22442.69921875,22454.2974609375,False,False
2024-05-08,22302.5,22368.650390625,22185.19921875,22231.19921875,277400,22433.12998046875,22302.5,22443.68994140625,False,False
2024-05-09,21957.5,22307.75,21932.400390625,22224.80078125,331300,22397.68994140625,22302.5,22433.12998046875,False,False
2024-05-10,22055.19921875,22131.30078125,21950.30078125,21990.94921875,265800,22368.31240234375,21957.5,22397.68994140625,False,False
2024-05-13,22104.05078125,22131.650390625,21821.05078125,22027.94921875,278200,22335.82490234375,22055.19921875,22368.31240234375,False,False
2024-05-14,22217.849609375,22270.05078125,22081.25,22112.900390625,230200,22320.74736328125,22104.05078125,22335.82490234375,False,False
2024-05-15,22200.55078125,22297.55078125,22151.75,22255.599609375,231900,22317.14990234375,22217.849609375,22320.74736328125,False,False
2024-05-16,22403.849609375,22432.25,22054.55078125,22319.19921875,368900,22329.94736328125,22200.55078125,22317.14990234375,True,False
2024-05-17,22466.099609375,22502.150390625,22345.650390625,22415.25,242700,22353.45986328125,22403.849609375,22329.94736328125,False,False
2024-05-21,22529.05078125,22591.099609375,22404.55078125,22404.55078125,347600,22372.56240234375,22466.099609375,22353.45986328125,False,False
2024-05-22,22597.80078125,22629.5,22483.150390625,22576.599609375,290300,22385.632421875,22529.05078125,22372.56240234375,False,False
2024-05-23,22967.650390625,22993.599609375,22577.44921875,22614.099609375,369800,22415.61494140625,22597.80078125,22385.632421875,False,False
2024-05-24,22957.099609375,23026.400390625,22908.0,22930.75,261900,22443.34990234375,22967.650390625,22415.61494140625,False,False
2024-05-27,22932.44921875,23110.80078125,22871.19921875,23038.94921875,260000,22461.4548828125,22957.099609375,22443.34990234375,False,False
2024-05-28,22888.150390625,22998.55078125,22858.5,22977.150390625,217900,22484.86494140625,22932.44921875,22461.4548828125,False,False
2024-05-29,22704.69921875,22825.5,22685.44921875,22762.75,269900,22487.9298828125,22888.150390625,22484.86494140625,False,False
2024-05-30,22488.650390625,22705.75,22417.0,22617.44921875,373400,22482.119921875,22704.69921875,22487.9298828125,False,False
2024-05-31,22530.69921875,22653.75,22465.099609375,22568.099609375,572100,22476.244921875,22488.650390625,22482.119921875,False,False
2024-06-03,23263.900390625,23338.69921875,23062.30078125,23337.900390625,569400,22515.6474609375,22530.69921875,22476.244921875,False,False
2024-06-04,21884.5,23179.5,21281.44921875,23179.5,1006100,22487.7375,23263.900390625,22515.6474609375,False,True
2024-06-05,22620.349609375,22670.400390625,21791.94921875,22128.349609375,638500,22503.62998046875,21884.5,22487.7375,True,False
2024-06-06,22821.400390625,22910.150390625,22642.599609375,22798.599609375,480400,22529.575,22620.349609375,22503.62998046875,False,False
2024-06-07,23290.150390625,23320.19921875,22789.05078125,22821.849609375,473600,22596.20751953125,22821.400390625,22529.575,False,False
2024-06-10,23259.19921875,23411.900390625,23227.150390625,23319.150390625,304400,22656.40751953125,23290.150390625,22596.20751953125,False,False
2024-06-11,23264.849609375,23389.44921875,23206.650390625,23283.75,305200,22714.4474609375,23259.19921875,22656.40751953125,False,False
2024-06-12,23322.94921875,23441.94921875,23295.94921875,23344.44921875,295600,22769.70244140625,23264.849609375,22714.4474609375,False,False
2024-06-13,23398.900390625,23481.05078125,23353.900390625,23480.94921875,268300,22829.619921875,23322.94921875,22769.70244140625,False,False
2024-06-14,23465.599609375,23490.400390625,23334.25,23464.94921875,223100,22882.707421875,23398.900390625,22829.619921875,False,False
2024-06-18,23557.900390625,23579.05078125,23499.69921875,23570.80078125,272200,22937.2974609375,23465.599609375,22882.707421875,False,False
2024-06-19,23516.0,23664.0,23412.900390625,23629.849609375,328800,22986.644921875,23557.900390625,22937.2974609375,False,False
2024-06-20,23567.0,23624.0,23442.599609375,23586.150390625,280300,23035.1048828125,23516.0,22986.644921875,False,False
2024-06-21,23501.099609375,23667.099609375,23398.19921875,23661.150390625,609900,23061.77734375,23567.0,23035.1048828125,False,False
2024-06-24,23537.849609375,23558.099609375,23350.0,23382.30078125,239400,23090.81484375,23501.099609375,23061.77734375,False,False
2024-06-25,23721.30078125,23754.150390625,23562.05078125,23577.099609375,298100,23130.257421875,23537.849609375,23090.81484375,False,False
2024-06-26,23868.80078125,23889.900390625,23670.44921875,23723.099609375,287800,23179.28994140625,23721.30078125,23130.257421875,False,False
2024-06-27,24044.5,24087.44921875,23805.400390625,23881.55078125,515200,23246.27998046875,23868.80078125,23179.28994140625,False,False
2024-06-28,24010.599609375,24174.0,23985.80078125,24085.900390625,354800,23322.37744140625,24044.5,23246.27998046875,False,False
2024-07-01,24141.94921875,24164.0,23992.69921875,23992.94921875,0,23402.93994140625,24010.599609375,23322.37744140625,False,False
2024-07-02,24123.849609375,24236.349609375,24056.400390625,24228.75,0,23445.93740234375,24141.94921875,23402.93994140625,False,False
2024-07-03,24286.5,24309.150390625,24207.099609375,24291.75,0,23566.03740234375,24123.849609375,23445.93740234375,False,False
2024-07-04,24302.150390625,24401.0,24281.0,24369.94921875,251200,23650.12744140625,24286.5,23566.03740234375,False,False
2024-07-05,24323.849609375,24363.0,24168.849609375,24213.349609375,298400,23725.24990234375,24302.150390625,23650.12744140625,False,False
2024-07-08,24320.55078125,24344.599609375,24240.55078125,24329.44921875,266300,23776.769921875,24323.849609375,23725.24990234375,False,False
2024-07-09,24433.19921875,24443.599609375,24331.900390625,24351.0,250500,23835.469921875,24320.55078125,23776.769921875,False,False
2024-07-10,24324.44921875,24461.05078125,24141.80078125,24459.849609375,292300,23888.44990234375,24433.19921875,23835.469921875,False,False
2024-07-11,24315.94921875,24402.650390625,24193.75,24396.55078125,306400,23938.09990234375,24324.44921875,23888.44990234375,False,False
2024-07-12,24502.150390625,24592.19921875,24331.150390625,24387.94921875,325800,23993.26240234375,24315.94921875,23938.09990234375,False,False
2024-07-15,24586.69921875,24635.05078125,24522.75,24587.599609375,305400,24049.3173828125,24502.150390625,23993.26240234375,False,False
2024-07-16,24613.0,24661.25,24587.650390625,24615.900390625,283200,24102.07236328125,24586.69921875,24049.3173828125,False,False
2024-07-18,24800.849609375,24837.75,24504.44921875,24543.80078125,350900,24166.31484375,24613.0,24102.07236328125,False,False
